name,longitude,latitude
A-Tur Settlement,35.243008457047914,31.778040507657078
Adora,35.01774286738666,31.55309421379548
Alei Zahav,35.066832989458554,32.0708885682597
Alfei Menashe,35.015115735028125,32.17202836216408
Almog,35.461579716657816,31.787808953122074
Almon,35.29419899446229,31.828252674472346
Alon,35.35438494907124,31.832965252786956
Alon Shvut,35.12698036522121,31.655332188496462
Argaman,35.52163457046195,32.17245882136152
Ariel,35.18213742014299,32.102818538369334
Asfar,35.18840978663554,31.587680028277408
Ateret,35.179080332481014,31.99953297585485
Avnei Hefetz,35.07717783276564,32.28625975693493
Barqan,35.10590195992601,32.110559160762456
Bat Ayin,35.10185813296784,31.659708557338824
Beit Arye,35.05187406859935,32.0366107181388
Beit El,35.227790421085245,31.942303805118446
Beit Ha’arava,35.47871148739834,31.80819915152602
Beit Horon,35.129688862969815,31.876406184312362
Beit Orot,35.24604948621685,31.785357292808335
Beitar Illit,35.1166794293294,31.701458039653776
Beqa’ot,35.45721456351868,32.24094574616457
Bracha,35.26115449923903,32.19309252647241
Bruchin,35.08940269436691,32.080844785198494
Carmel,35.18577535982522,31.431615576622722
Chemdat,35.52676746661838,32.25146042649604
Dolev,35.13460391611167,31.92755515465879
Efrat,35.15930072463069,31.666136361800746
El’azar,35.13898097241258,31.663332855023913
Eli,35.27122950685822,32.07458744569051
Elkana,35.03566059572881,32.11395288271975
Elon More,35.34560466645535,32.22816190237197
Enav,35.12641802290129,32.286611703521594
Eshkolot,34.90512081709341,31.39115804152838
Etz Efraim,35.046438488913005,32.119806618241434
Geva Binyamin,35.281068391466654,31.849174305108722
Gilgal,35.447111993071914,31.99984349847878
Gitit,35.39278207234419,32.103447837213906
Giv’on Ha’hadasha,35.15810839959255,31.84866361922786
Givat Ze’ev,35.16776815741891,31.86003829012973
Haggai,35.078154721231435,31.490105542857386
Halamish,35.12687539175095,32.00752773211137
Hamra,35.435434828790164,32.199019642462225
Har Adar,35.12877781951794,31.825698301186893
Har Gilo,35.17042211700016,31.722432595767593
Hashmonaim,35.01915274693521,31.9310036471396
Hebron Settlement,35.10711213781153,31.523782401879657
Hermesh,35.11843675317444,32.423246880127486
Hinanit,35.17063852157768,32.48045024476094
Immanuel,35.13945238409582,32.162008022426335
Itamar,35.34500706862544,32.16349215789539
Kalia,35.4666564708977,31.75186151361881
Karmei Tzur,35.10046135000323,31.609231735606173
Karnei Shomron,35.10029194063115,32.17408790550177
Kedumim,35.160193224863434,32.216878405999836
Keidar,35.31126513355736,31.753868126764328
Kfar Adumim,35.338701687649014,31.82366037999089
Kfar Etzion,35.11367044542422,31.651984799745296
Kfar Ha’oranim,35.03854103227467,31.91896817392235
Kfar Tapuah,35.242660041300425,32.11881227452171
Kiryat Arba,35.1215037499155,31.53415803768981
Kiryat Netafim,35.11235567493357,32.11687764622792
Kochav Ha’shachar,35.34912570199127,31.955649715253568
Kochav Ya’akov,35.24316262185931,31.87988333858213
Ma’ale Adumim,35.30836919846481,31.776219461503853
Ma’ale Amos,35.220799489804605,31.60635812542627
Ma’ale Efraim,35.40936236208757,32.07074973929585
Ma’ale Levona,35.24177768860029,32.055685871842016
Ma’ale Michmash,35.30887686475041,31.877004545122283
Ma’ale Shomron,35.07216669957941,32.16343865332749
Ma’on,35.16401226353539,31.41187149667786
Maskiyot,35.50283127710146,32.31734775166015
Masu’a,35.49339546389124,32.108371967785736
Matityahu,35.032104383121045,31.929725432526663
Mechola,35.513584605129275,32.36401147854047
Mechora,35.42113321821541,32.16160750824438
Mevo Dotan,35.17585426334304,32.419919346927514
Mevo Horon,35.040705444462205,31.848505521747747
Migdal Oz,35.14385639796924,31.640182889436595
Migdalim,35.34401524636715,32.09140351350006
Migron HaHadasha,35.25891123849247,31.874331171254465
Mitzpe Shalem,35.4021069849628,31.56674078283152
Mitzpe Yericho,35.39737715592495,31.819317590872263
Modi’in Ilit,35.04651267588961,31.931454396659753
Na’ale,35.0636127399645,31.963142631588266
Na’ama,35.466483387316636,31.91114424537272
Nahliel,35.14054522673692,31.974083626998674
Negohot,34.980523406125975,31.49391796505987
Netiv Ha’gdud,35.4463531316277,31.988517394043793
Neve Daniel,35.14299251358375,31.67851775780505
Nili,35.04649533753121,31.9635756848173
Niran,35.46157894055707,31.969582876342592
Nirit,34.98632048631277,32.14926392847785
Nof Zion Jabel Mukaber,35.24276452064334,31.75310467832823
Nofim,35.10164892091313,32.153919393780214
Nokdim,35.249164797283505,31.651894805480797
Ofra,35.266308143169766,31.94844395164043
Oranit,34.98951146821848,32.12974704046303
Otniel,35.03104884869394,31.43938440309851
Ovnat,35.43724915279129,31.679086304443395
Pedu’el,35.052795549053926,32.06227283803334
Petzael,35.44304601696836,32.04437765539942
Pnei Hever,35.16601462262568,31.486176975361882
Psagot,35.22705529091857,31.897693135942703
Ras El-Amud Settlement,35.24071015799067,31.772140478045724
Rechelim,35.25406199781783,32.10118740874444
Reihan,35.13704203636512,32.470036561093174
Revava,35.128386636964265,32.118192052597585
Rimonim,35.34085311964924,31.93379255294725
Ro’i,35.483929859813976,32.249727002521105
Rosh Tzurim,35.12344888494522,31.668109015040137
Rotem,35.519280622161766,32.336252952364944
Sal’it,35.04743286803615,32.242761131027095
Sansana,34.90281853392852,31.36350509172312
Sha’arei Tikva,35.025737529999944,32.123359577959555
Shadmot Mehola,35.53439968750483,32.34809518689824
Shaked,35.168213606423876,32.47417247070662
Shani,35.070032977439816,31.358127580622515
Shavei Shomron,35.181073294455636,32.26455063714555
Sheikh Jarrah Settlement,35.25182104296913,31.762555435025483
Shilo,35.301248401926955,32.05384593871729
Shim’a,35.01280853590105,31.387564827791955
Silwan Settlement,35.235151776124596,31.773589680412737
Suseya,35.111539553353786,31.39062240686849
Talmon,35.146155572599476,31.94351373569374
Telem,35.03074527786298,31.564267543265576
Tene,34.956605595973535,31.37428541559164
Tko’a,35.23260200392671,31.644574892714136
Tomer,35.43902500037836,32.01829769098448
Tzofim,35.01006308539585,32.19875158703569
Vered Yericho,35.431851077291654,31.82712151245503
Yafit,35.47184592629318,32.06151775719073
Yakir,35.113969150315064,32.150404098023024
Yatir (aka Metzadot Yehuda),35.11049825846973,31.36291814630238
Yitav,35.42486847684885,31.947600832404568
Yitzhar,35.23879473727083,32.16472005391367
